avg_salary_k,Location,job_state,Industry,Sector,Revenue,Size,Type of ownership,company_clean,Rating,age,num_comp,seniority,desc_len,python_yn,R_yn,spark,aws,excel,skill_sql,skill_tableau,skill_power_bi,skill_hadoop,skill_azure,skill_tensorflow,skill_pytorch,skill_machine_learning,skill_deep_learning
47.5,"Worcester, MA",MA,Insurance Carriers,Insurance,$5 to $10 billion (USD),5001 to 10000 employees,Company - Public,The Hanover Insurance Group,3.7,168,0,na,4900,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84.0,"Groton, CT",CT,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ employees,Company - Public,Pfizer,4.0,171,0,na,5015,0,0,0,1,1,0,0,0,0,0,0,0,0,0
85.0,"Clearwater, FL",FL,Security Services,Business Services,$100 to $500 million (USD),501 to 1000 employees,Company - Private,KnowBe4,4.8,10,0,na,3461,1,0,1,0,1,1,0,0,0,0,0,0,1,0
76.5,"Richland, WA",WA,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1001 to 5000 employees,Government,PNNL,3.8,55,3,na,3883,1,0,0,0,0,0,0,0,0,0,0,0,1,1
96.0,"Detroit, MI",MI,Real Estate,Real Estate,$500 million to $1 billion (USD),1001 to 5000 employees,Company - Private,Amrock,3.6,23,0,na,3342,1,0,0,0,0,1,0,0,0,0,0,0,1,0
114.5,"Cambridge, MA",MA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ employees,Company - Public,Novartis,3.8,24,0,na,5045,1,0,0,0,0,0,0,0,0,0,0,1,1,0
121.0,"Sunnyvale, CA",CA,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),5001 to 10000 employees,Company - Public,Juniper Networks,3.8,24,0,na,2327,1,0,1,0,1,1,0,0,0,0,1,0,1,1
112.5,"Ipswich, MA",MA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,201 to 500 employees,Company - Private,New England Biolabs,4.7,46,3,na,2161,1,0,0,0,1,0,0,0,0,0,0,0,0,0
106.0,"San Jose, CA",CA,IT Services,Information Technology,Unknown / Non-Applicable,201 to 500 employees,Company - Private,Clarity Insights,4.2,12,0,na,1739,1,0,0,0,1,1,1,1,0,0,0,0,0,0
107.0,"Redlands, CA",CA,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),1001 to 5000 employees,Company - Private,Esri,3.5,51,1,na,5000,1,0,1,1,0,0,1,0,1,1,0,0,1,1
110.0,"Woburn, MA",MA,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),201 to 500 employees,Company - Private,Systems & Technology Research,4.7,10,0,na,3703,1,0,1,0,1,1,0,0,1,0,1,1,1,1
147.5,"Fremont, CA",CA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),5001 to 10000 employees,Company - Public,Sartorius,3.5,150,0,senior,3555,1,0,0,0,1,0,0,0,0,0,0,0,1,0
106.0,"Long Beach, NY",NY,Insurance Carriers,Insurance,$100 to $500 million (USD),201 to 500 employees,Company - Private,Lancer Insurance,3.5,35,0,na,1739,1,0,0,0,1,1,0,0,0,0,0,0,0,0
88.0,"San Francisco, CA",CA,IT Services,Information Technology,$50 to $100 million (USD),201 to 500 employees,Company - Private,Sauce Labs,4.2,12,3,na,3053,1,0,0,1,1,1,1,0,0,0,0,0,0,0
98.5,"Marlborough, MA",MA,-1,-1,Less than $1 million (USD),1 to 50 employees,Company - Private,Persivia,3.6,-1,0,na,1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0
142.5,"San Francisco, CA",CA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,51 to 200 employees,Company - Private,Nuna,4.2,10,0,na,3833,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82.5,"Allendale, NJ",NJ,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),5001 to 10000 employees,Company - Public,Edgewell Personal Care,3.4,5,3,na,3550,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130.0,"Chicago, IL",IL,Real Estate,Real Estate,$2 to $5 billion (USD),1001 to 5000 employees,Company - Public,Equity Residential,4.3,27,3,senior,9120,1,0,1,0,1,1,1,0,1,0,0,0,1,1
155.0,"Washington, DC",DC,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,Company - Private,BPA Services,5.0,-1,0,na,3213,0,0,0,1,1,0,0,0,0,0,0,0,0,0
184.5,"Bellevue, WA",WA,IT Services,Information Technology,$10+ billion (USD),10000+ employees,Company - Public,Visa Inc.,3.7,62,3,senior,7286,1,0,0,0,1,1,1,0,0,0,0,0,1,0
29.5,"Longmont, CO",CO,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),5001 to 10000 employees,Company - Private,Intrado,3.1,34,0,na,3412,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86.5,"Beavercreek, OH",OH,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),501 to 1000 employees,Company - Private,Centauri,4.7,21,3,na,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0,"Peoria, IL",IL,Industrial Manufacturing,Manufacturing,$10+ billion (USD),10000+ employees,Company - Public,Caterpillar,3.7,95,3,na,2739,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91.0,"Fort Lauderdale, FL",FL,Advertising & Marketing,Business Services,Unknown / Non-Applicable,501 to 1000 employees,Subsidiary or Business Segment,Zimmerman Advertising,3.8,36,0,na,2915,1,0,0,0,1,1,1,0,1,0,0,0,1,0
114.5,"Boston, MA",MA,Insurance Carriers,Insurance,$10+ billion (USD),10000+ employees,Company - Private,Liberty Mutual Insurance,3.3,108,3,na,4244,1,0,0,0,0,0,0,0,0,0,0,0,1,1
68.0,"Huntsville, AL",AL,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),1001 to 5000 employees,Company - Private,"Torch Technologies, Inc.",4.6,18,0,na,1629,1,0,0,0,1,0,1,0,0,0,0,0,0,0
115.0,"Armonk, NY",NY,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),10000+ employees,Company - Public,Swiss Re,3.7,157,3,na,4734,1,0,0,0,1,1,0,0,0,0,0,0,1,0
109.5,"San Diego, CA",CA,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),10000+ employees,Company - Public,Northrop Grumman,3.7,81,0,na,4448,0,0,0,0,1,1,1,0,0,0,0,0,0,0
75.5,"Albuquerque, NM",NM,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),5001 to 10000 employees,Company - Public,Sartorius,3.5,150,0,na,3543,1,0,0,0,1,0,0,0,0,0,0,0,1,0
154.5,"San Francisco, CA",CA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,Netskope,4.1,8,3,na,4203,1,0,1,0,1,0,0,0,0,0,1,0,1,0
143.5,"Saint Louis, MO",MO,IT Services,Information Technology,Unknown / Non-Applicable,51 to 200 employees,Company - Private,1904labs,4.7,4,2,na,5020,1,0,1,0,0,1,0,0,0,0,1,0,1,0
73.5,"Baltimore, MD",MD,Banks & Credit Unions,Finance,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,ClearOne Advantage,4.1,12,0,na,1786,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95.0,"Dallas, TX",TX,Real Estate,Real Estate,$1 to $2 billion (USD),201 to 500 employees,Company - Public,CyrusOne,3.4,20,3,na,3747,1,0,0,1,1,1,0,1,0,1,0,0,1,0
107.0,"Cincinnati, OH",OH,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,201 to 500 employees,Subsidiary or Business Segment,The David J. Joseph Company,4.4,135,0,senior,4804,1,0,0,1,0,1,1,0,0,0,0,0,1,0
115.0,"New York, NY",NY,Consulting,Business Services,$10 to $25 million (USD),201 to 500 employees,Company - Private,USEReady,4.3,9,0,na,1382,1,0,1,1,0,1,1,0,1,1,0,0,1,0
139.5,"Palo Alto, CA",CA,Financial Transaction Processing,Finance,$50 to $100 million (USD),501 to 1000 employees,Company - Public,Bill.com,3.8,14,0,senior,2933,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67.0,"Richland, WA",WA,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1001 to 5000 employees,Government,Pacific Northwest National Laboratory,3.8,55,3,na,4945,0,0,0,0,0,0,0,0,0,0,1,1,1,1
85.0,"Coraopolis, PA",PA,Sporting Goods Stores,Retail,$5 to $10 billion (USD),10000+ employees,Company - Public,DICK'S Sporting Goods - Corporate,3.8,72,3,na,2493,1,0,0,0,0,1,0,0,0,0,1,1,1,1
118.0,"Framingham, MA",MA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),51 to 200 employees,Company - Private,Berg Health,2.8,14,0,na,1939,1,0,0,0,1,1,0,0,0,0,0,0,0,0
79.5,"Atlanta, GA",GA,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),51 to 200 employees,Company - Private,Oversight Systems,4.7,17,0,na,3081,1,0,0,0,1,1,0,0,0,0,0,1,1,1
56.5,"Boston, MA",MA,Advertising & Marketing,Business Services,$100 to $500 million (USD),201 to 500 employees,Company - Public,C Space,3.1,21,4,na,8397,1,0,0,0,0,1,1,0,0,0,0,0,1,0
128.5,"Philadelphia, PA",PA,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),1 to 50 employees,Company - Private,"Numeric, LLC",3.2,-1,0,na,2306,1,0,1,1,0,1,0,0,1,0,0,0,1,0
97.5,"Vancouver, WA",WA,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,10000+ employees,Company - Public,HP Inc.,4.0,81,0,na,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.5,"Indianapolis, IN",IN,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1 to 50 employees,Company - Private,SpringML,4.4,5,0,na,1886,1,0,0,0,0,0,1,0,0,0,0,0,0,0
179.5,"Lake Forest, IL",IL,Wholesale,Business Services,$10+ billion (USD),10000+ employees,Company - Public,Grainger,3.6,93,0,na,2903,1,0,0,0,1,1,0,0,0,0,0,0,1,0
